¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Римские
{SMT_CULTURE_BARBARIAN}			Варварские
{SMT_CULTURE_CARTHAGE}				Карфагенский
{SMT_CULTURE_GREEK}				Греческие
{SMT_CULTURE_EGYPT}				Египетские
{SMT_CULTURE_EASTERN}				Восточные
{SMT_END_TURN}					Конец хода
{SMT_SABOTAGE}					Саботаж
{SMT_ASSASSINATE}				Убийство
{SMT_SETTLEMENTS}				Поселения
{SMT_CAPITAL}					Столица
{SMT_ALLIES}					Союзники
{SMT_ENEMIES}					Враги
{SMT_SUSPICIOUS}				Подозрительный
{SMT_NEUTRAL}					Нейтральные отношения
{SMT_HOSTILE}					Враждебные
{SMT_AT_WAR}					В состоянии войны
{SMT_NIGHT_ATTACK}				Предпринять ночную атаку
{SMT_TRADE_RIGHTS}				Торговые привилегии
{SMT_SIEGE}					Ведение осады
{SMT_ASSAULT}					Штурм
{SMT_END_SIEGE}					Прорыв осады
{SMT_AGE}					Возраст
{SMT_LOYALTY}					Лояльность
{SMT_GOVERNOR}					Правитель
{SMT_GARRISON}					Гарнизон
{SMT_RECRUITMENT_COST}				Стоимость найма:
{SMT_RECRUITMENT_TIME}				Время для найма:
{SMT_RETRAIN_TIME}				Время для переобучения:
{SMT_RETRAIN_COST}				Стоимость переобучения:
{SMT_FIGHT_BATTLE}				Сражаться на карте сражений
{SMT_WITHDRAW}				Отступить из боя
{SMT_AUTORESOLVE}				Автоматически решить исход битвы
{SMT_DISBAND}					Распустить соединение\nНаземные соединения можно распустить только в родном районе, морские соединения -- только в порту\nПолководцев распустить нельзя.
{SMT_DOCTOR_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_QUARTERMASTER_DESCR}			THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_PRIEST_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_SCOUT_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_ENGINEER_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_SPY_DESCR}				Шпионы собирают информацию о фракциях соперников. Их можно использовать также для сбора данных о вражеских городах, армиях и персонажах. Чем больше времени шпион проводит на одном месте, тем больше информации он собирает. Кроме того, шпионы могут провоцировать волнения во вражеских поселениях. Если ваш шпион окажется во вражеском городе, который вы осаждаете, он даже может открыть ворота вашим войскам!
{SMT_ASSASSIN_DESCR}				Иногда один-единственный кинжал может действовать эффективнее сотен мечей - если вонзается в сердце нужного человека. Существование наемных убийц подтверждает тезис о том, что в политике и войнах главные роли играют отдельные личности, поскольку убийцы всегда атакуют лидеров и наиболее значительных членов фракций. Шансы убийцы на успех зависят от уровня его собственных навыков, положения его цели и, возможно, от капельки везения.
{SMT_DIPLOMAT_DESCR}				Дипломат -- это человек, обученный искусству подхалимажа, лести, убеждения а иногда даже запугивания членов фракции соперников. Это он заключает сделки, подписывает мирные договоры и требует, чтобы противник сдался. Дипломаты служат глазами и ушами своих фракций в тех местах, где работают.
{SMT_ADMIRAL_DESCR}				Адмирал -- это командующий флотом. Его качества и навыки помогают во время морских сражений, и увеличивают безопасность флота. Всеми флотами постоянно командуют адмиралы.
{SMT_ARMY_UPKEEP}				Содержание армии:
{SMT_LOYALTY_REVOLTING}			Мятеж
{SMT_LOYALTY_RIOTING}				Недовольство
{SMT_LOYALTY_DISILLUSIONED}			Разочарование
{SMT_LOYALTY_CONTENT}				Удовлетворенность
{SMT_LOYALTY_HAPPY}				Счастье
{SMT_FORTIFICATION_NONE}			Нет укреплений
{SMT_FORTIFICATION_0}				Деревянная
{SMT_FORTIFICATION_1}				Большие деревянные
{SMT_FORTIFICATION_2}				Каменные
{SMT_FORTIFICATION_3}				Большие каменные
{SMT_FORTIFICATION_4}				Грандиозные
{SMT_MISSION_INFILTRATE}			Задание: внедрение
{SMT_MISSION_DIPLOMACY}			Задание: дипломатия
{SMT_MISSION_BRIBE}				Задание: подкуп
{SMT_MISSION_SPYING}				Задание: шпионаж
{SMT_MISSION_ASSASSINATE}			Задание: убийство
{SMT_MISSION_SABOTAGE}				Задание: саботаж
{SMT_NAME}					Имя
{SMT_FORT}					Форт
{SMT_FACTION}					Фракция
{SMT_PORT}					Порт
{SMT_POPULATION}				Население
{SMT_FATIGUE}					Уровень усталости
{SMT_EXPERIENCE}				Опыт
{SMT_MILD}					легкая
{SMT_MASSIVE}					сильная
{SMT_CATASTROPHIC}				катастрофическая
{SMT_SMALL}					маленький
{SMT_MEDIUM}					средний
{SMT_LARGE}					большой
{SMT_HUGE}					огромный
{SMT_CURRENTLY_BUILDING}			Текущее здание
{SMT_HEALTHY}					Здоровый
{SMT_TIRED}					Усталые
{SMT_ILL}					Больной
{SMT_DYING}					Умирающий
{SMT_ARMY_DETAILS}				Сведения об армии
{SMT_ENEMY_ARMY_DETAILS}			Сведения о вражеской армии
{SMT_ALLIED_ARMY_DETAILS}			Сведения о союзной армии
{SMT_NEUTRAL_ARMY_DETAILS}			Сведения о нейтральной армии
{SMT_NAVY_DETAILS}				Сведения о флоте
{SMT_ENEMY_NAVY_DETAILS}			Сведения о вражеском флоте
{SMT_ALLIED_NAVY_DETAILS}			Сведения о союзном флоте
{SMT_NEUTRAL_NAVY_DETAILS}			Сведения о нейтральном флоте
{SMT_SETTLEMENT_DETAILS}			Сведения о поселении
{SMT_ENEMY_SETTLEMENT_DETAILS}		Сведения о вражеском поселении
{SMT_NEUTRAL_SETTLEMENT_DETAILS}		Сведения о нейтральном поселении
{SMT_ALLIED_SETTLEMENT_DETAILS}		Сведения о союзном поселении
{SMT_FORT_DETAILS}				Сведения о форте
{SMT_ENEMY_FORT_DETAILS}			Сведения о вражеском форте
{SMT_ALLIED_FORT_DETAILS}			Сведения о союзном форте
{SMT_NEUTRAL_FORT_DETAILS}			Сведения о нейтральном форте
{SMT_SET_HEIR}					Установить будущего лидера фракции
{SMT_PREV_CITY}					Выделить предыдущий город
{SMT_NEXT_CITY}				Выделить следующий город
{SMT_NEXT_CHARACTER}				Выделить следующий персонаж
{SMT_PREV_CHARACTER}				Выделить предыдущий персонаж
{SMT_NEXT_UNIT}				Выделить следующее соединение
{SMT_PREV_UNIT}					Выделить предыдущее соединение
{SMT_PREV_FORT}				Выделить предыдущий форт
{SMT_NEXT_FORT}				Выделить следующий форт
{SMT_FOOD_SUPPLIES}				Запас пищи
{SMT_STATE_REVOLTING}				Крестьяне в этом поселении восстали
