¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Дом Юлиев
{ROMANS_BRUTII}					Дом Брутов
{ROMANS_SCIPII}					Дом Сципионов
{ROMANS_SENATE}					Сенат и граждане Рима
{MACEDON}					Македония
{EGYPT}					Египет
{SELEUCID}					Империя Селевкидов
{CARTHAGE}					Карфаген
{PARTHIA}					Парфия
{PONTUS}					Понт
{GAULS}					Галлия
{GERMANS}					Германия
{BRITONS}					Британия
{ARMENIA}					Армения
{DACIA}					Дакия
{GREEK_CITIES}					Греческие города
{NUMIDIA}					Нумидия
{SCYTHIA}					Скифия
{SPAIN}					Испания
{THRACE}							Фракия
{SLAVE}							Повстанцы
{ALEMANNI}							Алеманны
{EMPIRE_EAST}						Римляне (Западная империя)
{EMPIRE_WEST}						Римляне (Восточная империя)
{EMPIRE_EAST_REBELS}					Римляне (мятежники Восточной империи)
{EMPIRE_WEST_REBELS}					Римляне (мятежники Западной империи)
{FRANKS}							Франки
{HUNS}						Гунны
{SARMATIANS}						Сарматы
{SASSANIDS}							Сасаниды
{SAXONS}							Саксы
{VANDALS}							Вандалы
{GOTHS}							Готы
{CELTS}							Кельты
{WHITE_HUNS}						Белые гунны
{OSTROGOTHS}						Остготы
{ROMANO_BRITISH}					Британские римляне
{SLAVS}								Славяне
{MOORS}							Мавры
{BERBERS}							Берберы

¬Culture Names
{ROMAN}					Рим
{BARBARIAN}					Варвары
{CARTHAGINIAN}				Карфаген
{GREEK}					Греки
{EGYPTIAN}					Египет
{EASTERN}					Восток
{NOMAD}					Кочевники
{HUN}						Гунны

{EMT_ROMANS_JULII_SPY}					Римский шпион (Юлии)
{EMT_ROMANS_JULII_ASSASSIN}					Римский убийца (Юлии)
{EMT_ROMANS_JULII_DIPLOMAT}					Римский дипломат (Юлии)
{EMT_ROMANS_JULII_ADMIRAL}					Римский флот (Юлии)
{EMT_ROMANS_JULII_GENERAL}					Римская армия (Юлии)
{EMT_ROMANS_JULII_NAMED_CHARACTER}					Римский член семьи (Юлии)
{EMT_ROMANS_BRUTII_SPY}					Римский шпион (Бруты)
{EMT_ROMANS_BRUTII_ASSASSIN}					Римский убийца (Бруты)
{EMT_ROMANS_BRUTII_DIPLOMAT}					Римский дипломат (Бруты)
{EMT_ROMANS_BRUTII_ADMIRAL}					Римский флот (Бруты)
{EMT_ROMANS_BRUTII_GENERAL}					Римская армия (Бруты)
{EMT_ROMANS_BRUTII_NAMED_CHARACTER}					Римский член семьи (Бруты)
{EMT_ROMANS_SCIPII_SPY}					Римский шпион (Сципионы)
{EMT_ROMANS_SCIPII_ASSASSIN}					Римский убийца (Сципионы)
{EMT_ROMANS_SCIPII_DIPLOMAT}					Римский дипломат (Сципионы)
{EMT_ROMANS_SCIPII_ADMIRAL}					Римский флот (Сципионы)
{EMT_ROMANS_SCIPII_GENERAL}					Римская армия (Сципионы)
{EMT_ROMANS_SCIPII_NAMED_CHARACTER}					Римский член семьи (Сципионы)
{EMT_ROMANS_SENATE_SPY}					Римский шпион (Сенат)
{EMT_ROMANS_SENATE_ASSASSIN}					Римский убийца (Сенат)
{EMT_ROMANS_SENATE_DIPLOMAT}					Римский дипломат (Сенат)
{EMT_ROMANS_SENATE_ADMIRAL}					Римский флот (Сенат)
