¬ Text file converted with loc_parser
{TMT_SETTLEMENT_INCOME}					Ingresos del enclave
{TMT_LOYALTY_TOOLTIP_REVOLTING}					Lealtad: en revuelta
{TMT_LOYALTY_TOOLTIP_RIOTING}					Lealtad: levantándose
{TMT_LOYALTY_TOOLTIP_DISILLUSIONED}					Lealtad: desilusionados
{TMT_LOYALTY_TOOLTIP_CONTENT}					Lealtad: contentos
{TMT_LOYALTY_TOOLTIP_HAPPY}					Lealtad: felices
{TMT_GROWTH_TOOLTIP_GROWTH}					Población: en aumento
{TMT_GROWTH_TOOLTIP_STATIC}					Población: estancada
{TMT_GROWTH_TOOLTIP_DECLINING}					Población: en descenso
{TMT_SETTLEMENT_STATUS_TRAINING}					Entrenando unidades
{TMT_SETTLEMENT_STATUS_BUILDING}					Construyendo edificios
{TMT_LCLICK_FOR_BUILD_OPTIONS}					Clic izquierdo para ver las opciones de mejora de este edificio
{TMT_CONSTRUCTION_HELP}					Clic izquierdo para añadirlo a la cola, clic derecho para obtener información
{TMT_CONSTRUCTION_REMOVE_HELP}					Clic izquierdo para quitar de la cola
{TMT_COST_OF_CONSTRUCTION}					Coste de construcción del elemento
{TMT_TIME_TO_CONSTRUCT}					Número de turnos necesarios para construir el elemento
{TMT_COST_OF_RECRUITMENT_UNIT}					Coste de reclutar la unidad
{TMT_TIME_TO_RECRUIT}					Número de turnos necesarios para el entrenamiento
{TMT_SEASON_SUMMER}					Verano
{TMT_SEASON_WINTER}					Invierno
{TMT_REMAINING_ACTION_POINTS}					Puntos de movimiento.\nLa barra azul oscura representa los puntos restantes.\nLa parte azul clara representa el efecto\nen puntos de movimiento tras llevar\na cabo la acción actual.
{TMT_ACCEPT_FIELD_CONSTRUCTION}					Construir el elemento seleccionado
{TMT_CANCEL_FIELD_CONSTRUCTION}					No construir nada
{TMT_BUILD_FORT_OR_WATCHTOWER}					Construir un fuerte o atalaya
{TMT_CANNOT_BUILD_FORT_OR_WATCHTOWER}					Aquí no puedes construir un fuerte o atalaya
{TMT_CANNOT_ATTACK_FROM_SIEGED_SETTLEMENT}					Solo se puede atacar a un ejército que asedie desde la guarnición asediada
{TMT_SHOW_GENERAL_UNIT_DETAILS}					Muestra los detalles de la unidad de guardia personal del personaje
{TMT_LCLICK_SELECT}					Clic izquierdo para seleccionar
{TMT_RCLICK_INFO}					Clic derecho para obtener más información
{TMT_LDBL_CLICK_INFO}					Doble clic izquierdo para obtener más información
{TMT_CURSOR_ATTACK}					Clic derecho para atacar
