¬ Text file converted with loc_parser
{your_citizens_killed}						Eure getöteten Bürger:
{your_soldiers_killed}						Eure getöteten Soldaten:
{your_buildings_damaged}					Eure beschädigten Gebäude:
{traits}							Merkmale
{effects}							Effekte
{benefactor}						Gönner:
{betrothed}						Versprochen:
{time_limit}							Zeitlimit
{settlements_affected}					Betroffene Siedlungen
{characters_affected}					Getötete Charaktere
{buildings_affected}						Beschädigte Gebäude
{nobody_harmed}						Zum Glück wurde bei der Katastrophe nichts beschädigt
{the_following_characters_died}				Die folgenden Charaktere starben:
{death_by_natural_causes}					Natürlicher Todesfall
{death_by_natural_disaster}					Laune der Götter
{death_in_battle}						Heldentod
{death_by_assassination}					Der Attentäterklinge zum Opfer gefallen
{death_by_execution}					Grausam und zu Unrecht für Spionage exekutiert
{death_by_poisoning}					Verräterisch vergiftet
{death_by_plague}						Vernichtet durch die Seuche
{death_by_starvation}					Verhungert
{new_faction_leader_collated}					Ein neuer Anführer wurde gewählt
{new_faction_heir_collated}					Ein neuer Erbe der Seite wurde bekannt gegeben
{the_following_babies_born}					Die folgenden Babys wurden geboren:
{the_following_characters_come_of_age}			Die folgenden Charaktere haben das heiratsfähige Alter erreicht:
{the_following_characters_married}				Die folgenden Charaktere haben geheiratet:
{the_following_characters_gained_traits}			Die folgenden Charaktere haben Persönlichkeitsmerkmale hinzugewonnen:
{the_following_characters_lost_traits}				Die folgenden Charaktere haben Persönlichkeitsmerkmale verloren:
{the_following_characters_gained_retainers}			Die folgenden Charaktere haben neue Gefolgsleute:
{the_following_women_died}					Die folgenden Frauen sind gestorben:
{war_declared_multi}						Die folgenden Seiten befinden sich nun miteinander im Krieg:
{alliance_declared_multi}					Die folgenden Seiten haben ein gegenseitiges Bündnis erklärt:
{ceasefire_declared_multi}					Die folgenden Seiten haben einen Waffenstillstand erklärt:
{treaty_declared_multi}					Von den folgenden kriegsführenden Seiten wurden Friedensverträge angekündigt:
{alliance_broken_multi}					Die folgenden Seiten haben ihre Bündnisse gebrochen:
{protectorates_established_multi}				Die folgenden Seiten sind zum Protektorat geworden und haben ihre Unabhängigkeit verloren:
{settlement_taken_body_roman}				Unser Volk wird nicht über den Verlust der römischen Würde und Autorität erfreut sein. Die Siedlung ist nicht mehr unter unserer Kontrolle.
{settlement_taken_body_barbarian}				Haben Eure Krieger die Lust auf das Blut des Gegners verloren? Die Siedlung ist nicht mehr unsere!
{settlement_taken_body_carthaginian}				Die Siedlung gehört nicht mehr uns, zur Schande unserer Generäle und Soldaten.
{settlement_taken_body_greek}				Griechischer Mut und Waffenfähigkeit hätten ausreichen sollen, aber jetzt untersteht die Siedlung nicht mehr unserer Herrschaft!
{settlement_taken_body_egyptian}				Die Siedlung ist gefallen. Die alten Pharaonen drehen sich wohl im Grabe um, ihren Erben in so einem Schlamassel zu sehen.
{settlement_taken_body_eastern}				Dies ist ein Tag der Schande vor den Göttern und anderen Männern, da eine Siedlung in die Hände des Feindes gefallen ist ...
{settlement_besieged_body_roman}				Hoffen wir, dass die römischen Waffen stark genug für diese Belagerung sind und dass der römische Stolz nicht von einer Niederlage gebeugt wird!
{settlement_besieged_body_barbarian}				Die Siedlung ist umzingelt und wird belagert. Ihre Krieger kauern hinter den Mauern, statt dem Gegner mit der Klinge in der Hand zu begegnen!
{settlement_besieged_body_carthaginian}			Die Siedlung wird belagert. Die Götter schauen es sich in Missgunst an, unsere Männer sind darin gefangen und unsere Händler wehklagen laut darüber!
{settlement_besieged_body_greek}				Rufen wir die Götter an, um griechischen Waffen und griechischem Mut den Segen der Stärke für die Belagerung zu geben!
{settlement_besieged_body_egyptian}				Die Siedlung ist umzingelt und wird belagert. Hoffen wir, dass die Fähigkeiten unserer Soldaten aus alten Zeiten für diese Aufgabe reichen werden.
{settlement_besieged_body_eastern}				Rufen wir die Götter an, damit unsere Krieger die erforderliche Stärke für diese Belagerung haben!
{settlement_destroyed_body_roman}				Diese Siedlung ist zerstört worden. Römische Tapferkeit und Waffenfähigkeit reichten zur Rettung dieses Ortes nicht aus.
{settlement_destroyed_body_barbarian}				Dieser Ort ist vom Angesicht unseres Landes entfernt worden. Die Stärke unserer Krieger reichte nicht, und die Kriegsgötter schauen in Missgunst auf uns herab!
{settlement_destroyed_body_carthaginian}			Die Siedlung ist ausradiert worden. Die Fähigkeiten unserer Generäle und der Mut unserer Soldaten reichten nicht aus, um diese Katastrophe zu verhindern!
{settlement_destroyed_body_greek}				Diese Siedlung ist komplett zerstört worden. Die Götter haben sich von uns abgewandt, der griechische Mut allein reichte nicht aus, um diese Katastrophe zu verhindern.
{settlement_destroyed_body_egyptian}				Die Siedlung ist von der Erde verschwunden, ihre Bewohner dem Tod entgegen getreten. Der Pharao selbst muss verzweifeln, wenn er sieht, wie seine Kinder behandelt werden.
{settlement_destroyed_body_eastern}				Dieser Ort ist von der Erde verschwunden. Die Götter selbst müssen von seiner vollständigen Vernichtung beeindruckt sein!
{naval_blockade_body_roman}					Diese Siedlung steht unter Blockade. Die Händler machen sich Sorgen, dass der Handel leidet - aber Händler machen sich immer um irgendetwas Sorgen.
{naval_blockade_body_barbarian}				Diese Siedlung steht unter Blockade. Die Händler jammern - wie sie es immer tun - dass sie ihre Güter nicht bewegen und keinen Profit machen können.
{naval_blockade_body_carthaginian}				Diese Siedlung steht unter Blockade. Unsere Händler verlangen, dass die Seewege wieder geöffnet werden, da der Handel das Lebenselixier eines Imperiums ist!
{naval_blockade_body_greek}					Diese Siedlung steht unter Blockade, eine direkte Herausforderung für die lange Tradition der griechischen Überlegenheit zur See!
{naval_blockade_body_egyptian}				Die Händler der Siedlung sind zu Recht verärgert, denn sie werden durch die schreckliche Blockade so behindert, dass sie keine Opfer mehr erbringen können.
{naval_blockade_body_eastern}				Die Händler stöhnen, dass aufgrund der Blockade dieser Siedlung ihre Güter gestohlen und ihre Schiffe geraubt wurden.
{wonder_captured_body_roman}				Die Einnahme dieses großen Wunders ist eine wahrhaft große Heldentat unserer Truppen, würdig eines Helden Roms!
{wonder_captured_body_barbarian}				Unsere Krieger haben die Kontrolle über dieses wunderbare Weltwunder übernommen. Sicher hatten die Bauherren Hilfe von Riesen oder von den Göttern, um so etwas zu errichten!
{wonder_captured_body_carthaginian}				Unsere Armee hat dieses Weltwunder eingenommen. Eine solche Trophäe war sicher ihre Anstrengungen wert!
