¬ Text file converted with loc_parser							
{your_citizens_killed}					Cittadini uccisi:		
{your_soldiers_killed}					Soldati uccisi:		
{your_buildings_damaged}					Strutture danneggiate:		
{traits}							Tratti
{effects}							Effetti
{benefactor}						Benefattore:	
{betrothed}						Pretendente di 	
{time_limit}						Tempo limite	
{settlements_affected}					Insediamenti coinvolti		
{characters_affected}					Personaggi uccisi		
{buildings_affected}					Strutture danneggiate		
{nobody_harmed}						Fortunatamente la calamità non ha provocato danni.	
{the_following_characters_died}				I seguenti personaggi sono morti:			
{death_by_natural_causes}					Cause naturali		
{death_by_natural_disaster}				Capriccio divino			
{death_in_battle}						Morte eroica
{death_by_assassination}					Per mano di un assassino	
{death_by_execution}					Giustiziato per spionaggio	
{death_by_poisoning}					Avvelenato a tradimento	
{death_by_plague}					Colpito da terribile morbo	
{death_by_starvation}					Morto di stenti	
{new_faction_leader_collated}				È stato eletto un nuovo capofazione		
{new_faction_heir_collated}					È stato designato un nuovo erede di fazione	
{the_following_babies_born}					Sono nati i seguenti bambini:	
{the_following_characters_come_of_age}			I seguenti personaggi hanno raggiunto la maturità:			
{the_following_characters_married}				I seguenti personaggi si sono sposati:		
{the_following_characters_gained_traits}			I seguenti personaggi hanno ottenuto dei tratti caratteriali:			
{the_following_characters_lost_traits}			I seguenti personaggi hanno perso dei tratti caratteriali:			
{the_following_characters_gained_retainers}			I seguenti personaggi hanno dei nuovi servitori:			
{the_following_women_died}				Le seguenti donne sono morte:		
{war_declared_multi}					Le seguenti fazioni sono ora in guerra tra loro:	
{alliance_declared_multi}					Le seguenti fazioni hanno dichiarato di essere alleate:
{ceasefire_declared_multi}					Le seguenti fazioni hanno dichiarato una tregua:
{treaty_declared_multi}					Sono stati annunciati trattati di pace tra le seguenti fazioni belligeranti:
{alliance_broken_multi}					Le seguenti fazioni hanno rotto le rispettive alleanze:
{protectorates_established_multi}				Le seguenti fazioni sono diventate protettorati e hanno rinunciato alla propria indipendenza e sovranità:	
{settlement_taken_body_roman}				Il nostro popolo non sarà contento di questa indecorosa diminuzione dell'autorità romana. Abbiamo perso il controllo dell'insediamento.	
{settlement_taken_body_barbarian}				I tuoi guerrieri hanno forse perso la sete di sangue nemico? L'insediamento non è più nostro!	
{settlement_taken_body_carthaginian}			L'insediamento non è più nostro, con grande vergogna da parte dei nostri soldati e generali.		
{settlement_taken_body_greek}				Il coraggio e l'abilità bellica ellenica sarebbero dovuti bastare, ma così non è stato: l'insediamento non è più nelle nostre mani!	
{settlement_taken_body_egyptian}				L'insediamento è caduto. Gli antichi Faraoni di certo disapprovano con vergogna questo loro discendente.	
{settlement_taken_body_eastern}				Questo è un giorno di vergogna per uomini e dei: è una sciagura che un insediamento sia caduto in mano al nemico.	
{settlement_besieged_body_roman}				Confidiamo che la forza di Roma sia sufficiente per resistere a questo assedio e che il nostro orgoglio non venga macchiato dalla sconfitta!	
{settlement_besieged_body_barbarian}			L'insediamento è stretto d'assedio. I nostri guerrieri preferiscono tremare dentro le mura piuttosto che affrontare il nemico con le armi in pugno!		
{settlement_besieged_body_carthaginian}			L'insediamento è assediato. Gli dei sono sfavorevoli: i nostri uomini sono intrappolati all'interno e i nostri mercanti piangono per il costo di tutto questo!		
{settlement_besieged_body_greek}				Imploriamo gli dei affinché concedano alle armi e al valore greco la forza necessaria per contrastare questo assedio!	
{settlement_besieged_body_egyptian}			L'insediamento è assediato! Speriamo che l'abilità dei nostri soldati, affinata da un dominio, si dimostri sufficiente per questo compito.		
{settlement_besieged_body_eastern}				Imploriamo gli dei affinché ai nostri guerrieri venga concessa la forza necessaria durante questo assedio!
{settlement_destroyed_body_roman}				L'insediamento è stato distrutto. La virtù romana e il valore delle armi non sono stati sufficienti a salvare questo luogo.
